locations_no;lie_city;lie_city_part;lie_street;lie_housenoonly;lie_housenoonlyext;flurstueck;rechtswert;hochwert;wohneinheiten;geweinheiten;rvfarbe;rvname;dpsid;hamikrorohr;aplaufgelegt;hakabelfasern;hakabelspleiss;kntname;odfspleiss;odfkabelfasern;mfgsid;popextid;auftraggeber;assigned_user_id;popsid
LOC10753;Gerstetten;Heldenfingen;Molkereistraße;45;-;-;578932.67;5384133.0;1;0;grün;HLDFG-HA1x10rt-RVT05-05-01;HLDFG-RVT-05;rot;1-2;12 F (1x12);2;HLDFG-RVT-05;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10758;Gerstetten;Heldenfingen;Muschelweg;4;-;-;579235.75;5384280.0;1;0;grün;HLDFG-HA1x10gn-ws-RVT06-01-014;HLDFG-RVT-06;grün / weiß;1-2;12 F (1x12);2;HLDFG-RVT-06;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10762;Gerstetten;Heldenfingen;Obere Hirschstraße;11;-;-;579063.92;5384259.0;1;0;orange;HLDFG-HA1x10rt-RVT07-02-01;HLDFG-RVT-07;rot;1-2;12 F (1x12);2;HLDFG-RVT-07;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10765;Gerstetten;Heldenfingen;Pfarrgasse;5;-;-;578686.27;5383979.0;1;0;grün;HLDFG-HA1x10br-RVT02-01-07;HLDFG-RVT-02;braun;1-2;12 F (1x12);2;HLDFG-RVT-02;127-128;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10766;Gerstetten;Heldenfingen;Pfarrgasse;6;-;-;578648.28;5383972.0;1;0;grün;HLDFG-HA1x10or-RVT02-01-011;HLDFG-RVT-02;orange;1-2;12 F (1x12);2;HLDFG-RVT-02;129-130;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10767;Gerstetten;Heldenfingen;Pfarrgasse;11;-;-;;;1;0;;;;;1-2;12 F (1x12);2;;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10774;Gerstetten;Heldenfingen;Rabenweg;8;-;-;578793.52;5383725.0;1;0;grün;HLDFG-HA1x10bl-RVT04-01-03;HLDFG-RVT-04;blau;1-2;12 F (1x12);2;HLDFG-RVT-04;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10775;Gerstetten;Heldenfingen;Rabenweg;9;-;-;578812.62;5383689.0;1;0;grün;HLDFG-HA1x10rt-RVT04-01-01;HLDFG-RVT-04;rot;1-2;12 F (1x12);2;HLDFG-RVT-04;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10777;Gerstetten;Heldenfingen;Raiffeisenstraße;4;-;-;579027.73;5384157.0;1;0;grün;HLDFG-HA1x10rt-RVT05-04-01;HLDFG-RVT-05;rot;1-2;12 F (1x12);2;HLDFG-RVT-05;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10788;Gerstetten;Heldenfingen;Ringstraße;9;-;-;579063.12;5384364.0;1;0;blau;HLDFG-HA1x10gr-RVT08-04-06;HLDFG-RVT-08;grau;1-2;12 F (1x12);2;HLDFG-RVT-08;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
