Projekt;Auftraggeber;zuständig;Hausanschlusslänge inklusive;COM_ADRESS_ID;PLZ;ORT;ORTSTEIL;STRASSE;HAUSNR;HAUSNR_ZUSATZ;ANSCHLUSSNR;FLURSTUECK;RECHTSWERT;HOCHWERT;WOHN_EINHEITEN;GEW_EINHEITEN;INST_EINHEITEN;HA_PL_DATUM;HA_GF_DATUM;HA_MIKROROHR;HA_STATUS;HA_DATUM;RV_FARBE;RV_NAME;RVT_NAME;APL_HERSTELLER;APL_TYP;APL_STECKERTYP;APL_AUFGELEGT;HA_KABELTYP;HA_KABELFASERN;HA_KABEL_LAENGE;HA_KABEL_SPLEISS;KVT_NAME;KVT_DATUM;KVT_KASSETTE;KVT_KASSETTE_SEITE;ODF_KABELTYP;ODF_KABELFASERN;ODF_SPLEISS;ODF_SPLEISS_2;POP_NETCOM;POP_GEMEINDE;HOEHENEINHEIT;HE_RICHTUNG;RACK;ODF_STECKERTYP;SLOT;PORT;PORT_2;DAEMPFUNG;DAEMPFUNG_DATUM;BEMERKUNG;DATENEINGABE
;;;;827B1F9A6F21F8EC4C1AFE0A4B90FF28;88175;Scheidegg, im Allgäu;Bieslings;Bieslings;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;23293CDF9782A84179510F2CC85F5ADD;88175;Scheidegg, im Allgäu;Brand;Brand;51;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1441414C79CDD5A7DAE272775D67B553;88175;Scheidegg, im Allgäu;Bronschwand;Bronschwand;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;6C3D31807796AAE9DD52608677DADC46;88175;Scheidegg, im Allgäu;Bronschwand;Bronschwand;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;11C9298DE0E5D99DF759FAF6957F7B28;88175;Scheidegg, im Allgäu;Bronschwand;Bronschwand;6;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;E5CAC19B900EC5F5B83FA34F6020B7F1;88175;Scheidegg, im Allgäu;Bronschwand;Bronschwand;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2CC11E1B06F8BC86E7819008651BEF8D;88175;Scheidegg, im Allgäu;Bronschwand;Bronschwand;10;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;286D6FCF75494BF92ED7DAE1062FBBB5;88175;Scheidegg, im Allgäu;Buchenbühl;Oberbuchenbühl;121;/1/2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;546909B1D3F55D4455F8B9CE63D8563C;88175;Scheidegg, im Allgäu;Buchenbühl;Oberbuchenbühl;121;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;B63744F3FD57A8434D3E6E2B0D71C68E;88175;Scheidegg, im Allgäu;Buchenbühl;Oberbuchenbühl;123;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2FA720D9AE52F9DFE057D39300B6E5C1;88175;Scheidegg, im Allgäu;Buflingsried;Am Großen Baum;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;AC4BC6E4FDFC335943452FE6E2BF4AC3;88175;Scheidegg, im Allgäu;Buflingsried;Am Großen Baum;1;/A;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;81203359191FDE2B4B0EB17CF0A75A87;88175;Scheidegg, im Allgäu;Buflingsried;Am Großen Baum;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;54DBBD24703C2850BBCFA7E401DBE582;88175;Scheidegg, im Allgäu;Buflingsried;Am Großen Baum;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;41490EE1A79BD94BB69B2CDB125D235C;88175;Scheidegg, im Allgäu;Buflingsried;Am Großen Baum;7;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;94A613B70EAFEC5D58D0437D07EA830F;88175;Scheidegg, im Allgäu;Buflingsried;Buflingsried;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;6E8CA664CB6F51FA07759FCC2C4E5830;88175;Scheidegg, im Allgäu;Buflingsried;Buflingsried;1;/A;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;4F6BB9096D4AE7A0888470F93ED79393;88175;Scheidegg, im Allgäu;Buflingsried;Buflingsried;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;E8A248BC85F179CE67AD1E5C55526936;88175;Scheidegg, im Allgäu;Buflingsried;Buflingsried;6;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;5583030DE3A06965864DFAD7BF755F6A;88175;Scheidegg, im Allgäu;Buflingsried;Buflingsried;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CD40DE1304E2C1BD9A29220A1EF91BE5;88175;Scheidegg, im Allgäu;Buflingsried;Buflingsried;10;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;E20B9CB06EB6D70126D58EA95AF8B6B1;88175;Scheidegg, im Allgäu;Buflingsried;Buflingsried;12;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;837FBF4D2550EF8902D1CB0EA99C2664;88175;Scheidegg, im Allgäu;Bux;Bux;138;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;A6A1BCC89E879DF57E99472D0DA22092;88175;Scheidegg, im Allgäu;Bux;Bux;139;/A;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;F3F967DB637CCB83D62BA35398B32D4F;88175;Scheidegg, im Allgäu;Bux;Bux;139;/B;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
